"Ethnicity","Highest Qualification Held",""
"All","All","78"
"All","Level 4 And Above","87"
"All","Level 3","82"
"All","Level 2","73"
"All","Below Level 2","68"
"All","Other Qualifications","74"
"All","No Qualifications","44"
"Asian","All","74"
"Asian","Level 4 And Above","85"
"Asian","Level 3","75"
"Asian","Level 2","57"
"Asian","Below Level 2","63"
"Asian","Other Qualifications","67"
"Asian","No Qualifications","42"
"Black","All","72"
"Black","Level 4 And Above","82"
"Black","Level 3","75"
"Black","Level 2","63"
"Black","Below Level 2","61"
"Black","Other Qualifications","66"
"Black","No Qualifications","39"
"Mixed","All","72"
"Mixed","Level 4 And Above","88"
"Mixed","Level 3","75"
"Mixed","Level 2","54"
"Mixed","Below Level 2","45"
"Mixed","Other Qualifications","?"
"Mixed","No Qualifications","?"
"White","All","79"
"White","Level 4 And Above","87"
"White","Level 3","82"
"White","Level 2","74"
"White","Below Level 2","69"
"White","Other Qualifications","76"
"White","No Qualifications","45"
"Other","All","73"
"Other","Level 4 And Above","81"
"Other","Level 3","73"
"Other","Level 2","60"
"Other","Below Level 2","?"
"Other","Other Qualifications","67"
"Other","No Qualifications","52"
