"Time","Ethnicity","%"
"2004","All","73"
"2004","Asian","57"
"2004","Indian","68"
"2004","Pakistani, Bangladeshi","44"
"2004","Asian Other","58"
"2004","Black","60"
"2004","Mixed","62"
"2004","White","74"
"2004","White British","74"
"2004","White Other","71"
"2004","Other","55"
"2005","All","73"
"2005","Asian","57"
"2005","Indian","69"
"2005","Pakistani, Bangladeshi","44"
"2005","Asian Other","60"
"2005","Black","61"
"2005","Mixed","62"
"2005","White","74"
"2005","White British","74"
"2005","White Other","73"
"2005","Other","57"
"2006","All","73"
"2006","Asian","58"
"2006","Indian","69"
"2006","Pakistani, Bangladeshi","45"
"2006","Asian Other","60"
"2006","Black","62"
"2006","Mixed","65"
"2006","White","74"
"2006","White British","74"
"2006","White Other","74"
"2006","Other","55"
"2007","All","73"
"2007","Asian","58"
"2007","Indian","69"
"2007","Pakistani, Bangladeshi","45"
"2007","Asian Other","61"
"2007","Black","63"
"2007","Mixed","63"
"2007","White","74"
"2007","White British","74"
"2007","White Other","75"
"2007","Other","58"
"2008","All","72"
"2008","Asian","59"
"2008","Indian","69"
"2008","Pakistani, Bangladeshi","46"
"2008","Asian Other","64"
"2008","Black","61"
"2008","Mixed","60"
"2008","White","74"
"2008","White British","74"
"2008","White Other","75"
"2008","Other","58"
"2009","All","71"
"2009","Asian","59"
"2009","Indian","68"
"2009","Pakistani, Bangladeshi","47"
"2009","Asian Other","63"
"2009","Black","58"
"2009","Mixed","60"
"2009","White","72"
"2009","White British","72"
"2009","White Other","74"
"2009","Other","56"
"2010","All","70"
"2010","Asian","59"
"2010","Indian","70"
"2010","Pakistani, Bangladeshi","46"
"2010","Asian Other","59"
"2010","Black","60"
"2010","Mixed","61"
"2010","White","72"
"2010","White British","72"
"2010","White Other","74"
"2010","Other","56"
"2011","All","70"
"2011","Asian","-"
"2011","Indian","-"
"2011","Pakistani, Bangladeshi","-"
"2011","Asian Other","-"
"2011","Black","-"
"2011","Mixed","-"
"2011","White","-"
"2011","White British","-"
"2011","White Other","-"
"2011","Other","-"
"2012","All","71"
"2012","Asian","59"
"2012","Indian","69"
"2012","Pakistani, Bangladeshi","48"
"2012","Asian Other","60"
"2012","Black","60"
"2012","Mixed","60"
"2012","White","72"
"2012","White British","72"
"2012","White Other","75"
"2012","Other","56"
"2013","All","71"
"2013","Asian","59"
"2013","Indian","69"
"2013","Pakistani, Bangladeshi","49"
"2013","Asian Other","59"
"2013","Black","61"
"2013","Mixed","62"
"2013","White","73"
"2013","White British","73"
"2013","White Other","76"
"2013","Other","57"
"2014","All","72"
"2014","Asian","62"
"2014","Indian","71"
"2014","Pakistani, Bangladeshi","52"
"2014","Asian Other","62"
"2014","Black","62"
"2014","Mixed","63"
"2014","White","74"
"2014","White British","74"
"2014","White Other","77"
"2014","Other","57"
"2015","All","74"
"2015","Asian","63"
"2015","Indian","71"
"2015","Pakistani, Bangladeshi","53"
"2015","Asian Other","64"
"2015","Black","65"
"2015","Mixed","65"
"2015","White","75"
"2015","White British","75"
"2015","White Other","79"
"2015","Other","59"
"2016","All","74"
"2016","Asian","63"
"2016","Indian","73"
"2016","Pakistani, Bangladeshi","54"
"2016","Asian Other","63"
"2016","Black","67"
"2016","Mixed","64"
"2016","White","76"
"2016","White British","75"
"2016","White Other","80"
"2016","Other","61"
"2017","All","75"
"2017","Asian","64"
"2017","Indian","74"
"2017","Pakistani, Bangladeshi","55"
"2017","Asian Other","64"
"2017","Black","67"
"2017","Mixed","67"
"2017","White","77"
"2017","White British","76"
"2017","White Other","81"
"2017","Other","62"
"2018","All","75"
"2018","Asian","66"
"2018","Indian","76"
"2018","Pakistani, Bangladeshi","57"
"2018","Asian Other","64"
"2018","Black","67"
"2018","Mixed","67"
"2018","White","77"
"2018","White British","76"
"2018","White Other","82"
"2018","Other","61"
"2019","All","76"
"2019","Asian","65"
"2019","Indian","76"
"2019","Pakistani, Bangladeshi","56"
"2019","Asian Other","65"
"2019","Black","69"
"2019","Mixed","69"
"2019","White","78"
"2019","White British","77"
"2019","White Other","83"
"2019","Other","63"
"2020","All","75"
"2020","Asian","68"
"2020","Indian","77"
"2020","Pakistani, Bangladeshi","57"
"2020","Asian Other","68"
"2020","Black","67"
"2020","Mixed","69"
"2020","White","77"
"2020","White British","76"
"2020","White Other","82"
"2020","Other","66"
"2021","All","75"
"2021","Asian","69"
"2021","Indian","78"
"2021","Pakistani, Bangladeshi","58"
"2021","Asian Other","69"
"2021","Black","67"
"2021","Mixed","64"
"2021","White","76"
"2021","White British","76"
"2021","White Other","82"
"2021","Other","67"
