"","All","East Midlands","East Of England","London","North East","North West","Scotland","South East","South West","Wales","West Midlands","Yorkshire And The Humber"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%","%"
"All","75","74","78","75","70","73","73","78","77","73","74","74"
"Asian","69","70","74","71","66","60","66","71","77","68","66","59"
"Indian","78","76","83","80","?","71","?","79","87","?","77","73"
"Pakistani, Bangladeshi","58","53","56","61","?","50","?","66","?","?","59","51"
"Asian Other","69","?","78","72","?","66","?","67","71","?","53","?"
"Black","67","66","72","67","?","66","?","72","?","?","69","60"
"Mixed","64","?","62","64","?","66","?","68","72","?","62","?"
"White","76","75","79","79","71","74","74","78","78","74","76","76"
"White British","76","75","78","77","71","74","73","78","77","73","75","76"
"White Other","82","83","83","83","77","82","82","81","81","80","81","77"
"Other","67","?","77","66","?","61","?","82","?","?","61","?"
